,PC1,PC2,abs_PC1,abs_PC2
HR_TD_Mean,-0.0004538941377268484,0.3105051377350305,0.0004538941377268484,0.3105051377350305
HR_TD_Median,0.004081029787301115,0.2853765164000165,0.004081029787301115,0.2853765164000165
HR_TD_std,-0.023877697296952445,0.23066646449085515,0.023877697296952445,0.23066646449085515
HR_TD_Min,0.01543522931401553,0.18230424742025564,0.01543522931401553,0.18230424742025564
HR_TD_Max,-0.016785910068543575,0.3149001554313054,0.016785910068543575,0.3149001554313054
HR_TD_AUC,-0.0004433546513008535,0.2802415807293931,0.0004433546513008535,0.2802415807293931
HR_TD_Kurtosis,-0.01389558721025334,-0.0341586412535082,0.01389558721025334,0.0341586412535082
HR_TD_Skew,-0.02791167274866402,-0.03228668411265581,0.02791167274866402,0.03228668411265581
HR_TD_Slope_min,0.020204130977487807,-0.1702567195121041,0.020204130977487807,0.1702567195121041
HR_TD_Slope_max,-0.023146349240694135,0.1553129556645786,0.023146349240694135,0.1553129556645786
HR_TD_Slope_mean,0.017864051056194506,-0.0016241706305602042,0.017864051056194506,0.0016241706305602042
HR_TD_Slope,0.018784555745922606,-0.004750881627657481,0.018784555745922606,0.004750881627657481
TEMP_TD_Mean,0.18050734013728384,-0.09641305423046202,0.18050734013728384,0.09641305423046202
TEMP_TD_Median,0.1806571739433077,-0.09696961366333427,0.1806571739433077,0.09696961366333427
TEMP_TD_std,-0.02520790129250105,0.029457590297546802,0.02520790129250105,0.029457590297546802
TEMP_TD_Min,0.17950197610637403,-0.10215269430725264,0.17950197610637403,0.10215269430725264
TEMP_TD_Max,0.17766055934754552,-0.09118346607987379,0.17766055934754552,0.09118346607987379
TEMP_TD_AUC,0.08156212001085676,-0.014651996737590742,0.08156212001085676,0.014651996737590742
TEMP_TD_Kurtosis,-0.0017581566737471402,0.06560696545410899,0.0017581566737471402,0.06560696545410899
TEMP_TD_Skew,-0.01907367584648295,0.004748116343737845,0.01907367584648295,0.004748116343737845
TEMP_TD_Slope_min,0.012792312110111713,-0.14911143649414937,0.012792312110111713,0.14911143649414937
TEMP_TD_Slope_max,-0.012477040854082608,0.08893030816353938,0.012477040854082608,0.08893030816353938
TEMP_TD_Slope_mean,0.02720292038117051,-0.0769547507212814,0.02720292038117051,0.0769547507212814
TEMP_TD_Slope,0.02849684920337472,-0.07641890664710611,0.02849684920337472,0.07641890664710611
EDA_TD_P_Mean,0.22396111887577924,0.154965389448142,0.22396111887577924,0.154965389448142
EDA_TD_P_Median,0.20496045668946639,0.17491977356243124,0.20496045668946639,0.17491977356243124
EDA_TD_P_std,0.24585126061634258,0.05362364850394024,0.24585126061634258,0.05362364850394024
EDA_TD_P_Min,-0.1016184069345126,-0.019003258347331096,0.1016184069345126,0.019003258347331096
EDA_TD_P_Max,0.24897699486583266,0.04986697520700619,0.24897699486583266,0.04986697520700619
EDA_TD_P_AUC,0.22492638397964296,0.15330506884778927,0.22492638397964296,0.15330506884778927
EDA_TD_P_Kurtosis,-0.11863333918802264,-0.052276568418880426,0.11863333918802264,0.052276568418880426
EDA_TD_P_Skew,-0.1512629854433279,-0.09715678068543247,0.1512629854433279,0.09715678068543247
EDA_TD_P_Slope_min,-0.23453099976507652,-0.051470423442865315,0.23453099976507652,0.051470423442865315
EDA_TD_P_Slope_max,0.23859109703740694,0.0548421090691709,0.23859109703740694,0.0548421090691709
EDA_TD_P_Slope_mean,0.198748026818097,0.16024436846187703,0.198748026818097,0.16024436846187703
EDA_TD_P_Slope,0.17651727327641606,0.14344578468783203,0.17651727327641606,0.14344578468783203
EDA_TD_T_Mean,0.1893654029521585,-0.20466059558683222,0.1893654029521585,0.20466059558683222
EDA_TD_T_Median,0.19040333519887326,-0.20278152460645638,0.19040333519887326,0.20278152460645638
EDA_TD_T_std,0.24099053672380286,0.011093545031107717,0.24099053672380286,0.011093545031107717
EDA_TD_T_Min,0.12051863054759931,-0.253433681212096,0.12051863054759931,0.253433681212096
EDA_TD_T_Max,0.21502676839914364,-0.16474285571806283,0.21502676839914364,0.16474285571806283
EDA_TD_T_AUC,0.1903840827818356,-0.19900805520455178,0.1903840827818356,0.19900805520455178
EDA_TD_T_Kurtosis,0.01704009579319188,-0.0447124895858435,0.01704009579319188,0.0447124895858435
EDA_TD_T_Skew,-0.05337895409476281,0.07364780969267352,0.05337895409476281,0.07364780969267352
EDA_TD_T_Slope_min,-0.23192076717873172,-0.023934526547687445,0.23192076717873172,0.023934526547687445
EDA_TD_T_Slope_max,0.23938843940561347,0.025344811462014148,0.23938843940561347,0.025344811462014148
EDA_TD_T_Slope_mean,-0.008624545088914887,-0.045651733048384206,0.008624545088914887,0.045651733048384206
EDA_TD_T_Slope,0.00658099150945633,-0.047663612268305885,0.00658099150945633,0.047663612268305885
EDA_TD_P_Peaks,0.11364661606932126,0.14193839079008969,0.11364661606932126,0.14193839079008969
EDA_TD_P_RT,-0.0068454746192324846,-0.09331983129400705,0.0068454746192324846,0.09331983129400705
EDA_TD_P_ReT,-0.09056594784035663,-0.11844210574871661,0.09056594784035663,0.11844210574871661
